G01,05:36:00,17:24:00
G01,22:30:00,24:00:00
G03,12:25:00,24:00:00
G05,00:00:00,08:00:00
G05,20:01:00,24:00:00
G06,00:00:00,04:12:00
G06,16:13:00,24:00:00
G07,00:00:00,01:48:00
G07,13:48:00,24:00:00
G08,09:37:00,21:36:00
G08,23:30:00,24:00:00
G09,00:00:00,00:48:00
G09,12:48:00,24:00:00
G10,04:48:00,16:48:00
G10,23:30:00,24:00:00
G12,00:00:00,10:12:00
G12,22:12:00,24:00:00
G15,00:00:00,09:48:00
G15,21:48:00,24:00:00
G17,00:00:00,05:00:00
G17,17:01:00,24:00:00
G24,00:00:00,11:24:00
G24,22:00:00,24:00:00
G25,02:00:00,14:00:00
G25,22:40:00,24:00:00
G26,05:48:00,17:48:00
G26,23:00:00,24:00:00
G27,08:12:00,20:12:00
G27,22:50:00,24:00:00
G29,00:00:00,12:00:00
G29,22:01:00,24:00:00
G30,00:00:00,03:12:00
G30,15:12:00,24:00:00
G31,05:48:00,17:48:00
G31,23:51:00,24:00:00
G32,05:36:00,17:36:00
G32,22:00:00,24:00:00
