G01,00:00:00,09:36:00
G01,13:00:00,24:00:00
G03,00:00:00,08:48:00
G03,13:01:00,24:00:00
G05,05:24:00,24:00:00
G06,01:24:00,24:00:00
G07,00:00:00,11:00:00
G07,13:00:00,24:00:00
G08,00:00:00,06:24:00
G08,13:00:00,24:00:00
G09,00:00:00,09:48:00
G09,13:01:00,24:00:00
G10,00:00:00,01:48:00
G10,13:01:00,24:00:00
G12,07:24:00,24:00:00
G15,07:00:00,24:00:00
G17,01:48:00,24:00:00
G24,08:25:00,24:00:00
G25,11:13:00,24:00:00
G26,00:00:00,03:00:00
G26,13:00:00,24:00:00
G27,00:00:00,05:24:00
G27,13:00:00,24:00:00
G29,09:24:00,24:00:00
G30,00:24:00,12:24:00
G30,13:00:00,24:00:00
G31,00:00:00,02:48:00
G31,13:00:00,24:00:00
G32,00:00:00,02:48:00
G32,13:00:00,24:00:00
